anchor,layer_index,layer_bucket,delta_type,behavior_delta_name,behavior_transform,n_families,pearson_correlation,spearman_correlation,mean_hidden_metric,std_hidden_metric
end_of_evidence_block,12,middle,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,13,middle,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,14,middle,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,15,middle,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,16,middle,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,17,middle,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,18,middle,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,19,middle,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,20,middle,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,21,middle,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,22,middle,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,23,middle,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,24,late,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,25,late,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,26,late,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,27,late,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,28,late,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,29,late,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,30,late,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,31,late,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,32,late,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,33,late,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,34,late,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,35,late,false_rationale_pressure_delta,delta_evidence_false_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,0,early,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,1,early,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,2,early,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,3,early,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,4,early,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,5,early,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,6,early,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,7,early,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,8,early,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,9,early,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,10,early,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,11,early,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,12,middle,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,13,middle,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,14,middle,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,15,middle,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,16,middle,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,17,middle,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,18,middle,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,19,middle,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,20,middle,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,21,middle,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,22,middle,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,23,middle,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,24,late,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,25,late,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,26,late,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,27,late,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,28,late,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,29,late,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,30,late,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,31,late,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,32,late,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,33,late,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,34,late,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,35,late,emotional_pressure_delta,delta_evidence_emotional_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,0,early,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,1,early,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,2,early,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,3,early,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,4,early,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,5,early,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,6,early,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,7,early,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,8,early,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,9,early,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,10,early,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,11,early,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,12,middle,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,13,middle,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,14,middle,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,15,middle,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,16,middle,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,17,middle,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,18,middle,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,19,middle,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,20,middle,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,21,middle,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,22,middle,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,23,middle,authority_pressure_delta,delta_evidence_authority_pressure,negative,80,0.0,0.0,0.0,0.0
